index,has_he a,has_dat,status
0632,True,True,OK
0633,True,True,OK
0634,True,True,OK
0635,True,True,OK
0636,True,True,OK
0637,True,True,OK
0638,True,True,OK
0639,True,True,OK
0640,True,True,OK
0641,True,True,OK
0642,True,True,OK
0643,True,True,OK
0644,True,True,OK
0645,True,True,OK
0646,True,True,OK
0647,True,True,OK
0648,True,True,OK
0649,True,True,OK
0650,True,True,OK
0651,True,True,OK
0652,True,True,OK
0653,True,True,OK
0654,True,True,OK
0655,True,True,OK
0656,True,True,OK
0657,True,True,OK
0658,True,True,OK
0659,True,True,OK
0660,True,True,OK
0661,True,True,OK
0662,True,True,OK
0663,True,True,OK
0664,True,True,OK
0665,True,True,OK
0666,True,True,OK
0667,True,True,OK
0668,True,True,OK
0669,True,True,OK
0670,True,True,OK
0671,True,True,OK
0672,True,True,OK
0673,True,True,OK
0674,True,True,OK
0675,True,True,OK
0676,True,True,OK
0677,True,True,OK
0678,True,True,OK
0679,True,True,OK
0680,True,True,OK
0681,True,True,OK
0682,True,True,OK
0683,True,True,OK
0684,True,True,OK
0685,True,True,OK
0686,True,True,OK
0687,True,True,OK
0688,True,True,OK
0689,True,True,OK
0690,True,True,OK
0691,True,True,OK
0692,True,True,OK
0693,True,True,OK
0694,True,True,OK
0695,True,True,OK
0696,True,True,OK
0697,True,True,OK
0698,True,True,OK
0699,True,True,OK
0700,True,True,OK
0701,True,True,OK
0702,True,True,OK
0703,True,True,OK
0704,True,True,OK
0705,True,True,OK
0706,True,True,OK
0707,True,True,OK
0708,True,True,OK
0709,True,True,OK
0710,True,True,OK
0711,True,True,OK
0712,True,True,OK
0713,True,True,OK
0714,True,True,OK
0715,True,True,OK
0716,True,True,OK
0717,True,True,OK
0718,True,True,OK
0719,True,True,OK
0720,True,True,OK
0721,True,True,OK
0722,True,True,OK
0723,True,True,OK
0724,True,True,OK
0725,True,True,OK
0726,True,True,OK
0727,True,True,OK
0728,True,True,OK
0729,True,True,OK
0730,True,True,OK
0731,True,True,OK
0732,True,True,OK
0733,True,True,OK
0734,True,True,OK
0735,True,True,OK
0736,True,True,OK
0737,True,True,OK
0738,True,True,OK
0739,True,True,OK
0740,True,True,OK
0741,True,True,OK
0742,True,True,OK
0743,True,True,OK
0744,True,True,OK
0745,True,True,OK
0746,True,True,OK
0747,True,True,OK
0748,True,True,OK
0749,True,True,OK
0750,True,True,OK
0751,True,True,OK
0752,True,True,OK
0753,True,True,OK
0754,True,True,OK
0755,True,True,OK
0756,True,True,OK
0757,True,True,OK
0758,True,True,OK
0759,True,True,OK
0760,True,True,OK
0761,True,True,OK
0762,True,True,OK
0763,True,True,OK
0764,True,True,OK
0765,True,True,OK
0766,True,True,OK
0767,True,True,OK
0768,True,True,OK
0769,True,True,OK
0770,True,True,OK
0771,True,True,OK
0772,True,True,OK
0773,True,True,OK
0774,True,True,OK
0775,True,True,OK
0776,True,True,OK
0777,True,True,OK
0778,True,True,OK
0779,True,True,OK
0780,True,True,OK
0781,True,True,OK
0782,True,True,OK
0783,True,True,OK
0784,True,True,OK
0785,True,True,OK
0786,True,True,OK
0787,True,True,OK
0788,True,True,OK
0789,True,True,OK
0790,True,True,OK
0791,True,True,OK
0792,True,True,OK
0793,True,True,OK
0794,True,True,OK
0795,True,True,OK
0796,True,True,OK
0797,True,True,OK
0798,True,True,OK
0799,True,True,OK
0800,True,True,OK
0801,True,True,OK
0802,True,True,OK
0803,True,True,OK
0804,True,True,OK
0805,True,True,OK
0806,True,True,OK
0807,True,True,OK
0808,True,True,OK
0809,True,True,OK
0810,True,True,OK
0811,True,True,OK
0812,True,True,OK
0813,True,True,OK
0814,True,True,OK
0815,True,True,OK
0816,True,True,OK
0817,True,True,OK
0818,True,True,OK
0819,True,True,OK
0820,True,True,OK
0821,True,True,OK
0822,True,True,OK
0823,True,True,OK
0824,True,True,OK
0825,True,True,OK
0826,True,True,OK
0827,True,True,OK
0828,True,True,OK
0829,True,True,OK
0830,True,True,OK
0831,True,True,OK
0832,True,True,OK
0833,True,True,OK
0834,True,True,OK
0835,True,True,OK
0836,True,True,OK
0837,True,True,OK
0838,True,True,OK
0839,True,True,OK
0840,True,True,OK
0841,True,True,OK
0842,True,True,OK
0843,True,True,OK
0844,True,True,OK
0845,True,True,OK
0846,True,True,OK
0847,True,True,OK
0848,True,True,OK
0849,True,True,OK
0850,True,True,OK
0851,True,True,OK
0852,True,True,OK
0853,True,True,OK
0854,True,True,OK
0855,True,True,OK
0856,True,True,OK
0857,True,True,OK
0858,True,True,OK
0859,True,True,OK
0860,True,True,OK
0861,True,True,OK
0862,True,True,OK
0863,True,True,OK
0864,True,True,OK
0865,True,True,OK
0866,True,True,OK
0867,True,True,OK
0868,True,True,OK
0869,True,True,OK
0870,True,True,OK
0871,True,True,OK
0872,True,True,OK
0873,True,True,OK
0874,True,True,OK
0875,True,True,OK
0876,True,True,OK
0877,True,True,OK
0878,True,True,OK
0879,True,True,OK
0880,True,True,OK
0881,True,True,OK
0882,True,True,OK
0883,True,True,OK
0884,True,True,OK
0885,True,True,OK
0886,True,True,OK
0887,True,True,OK
0888,True,True,OK
0889,True,True,OK
0890,True,True,OK
0891,True,True,OK
0892,True,True,OK
0893,True,True,OK
0894,True,True,OK
0895,True,True,OK
0896,True,True,OK
0897,True,True,OK
0898,True,True,OK
0899,True,True,OK
0900,True,True,OK
0901,True,True,OK
0902,True,True,OK
0903,True,True,OK
0904,True,True,OK
0905,True,True,OK
0906,True,True,OK
0907,True,True,OK
0908,True,True,OK
0909,True,True,OK
0910,True,True,OK
0911,True,True,OK
0912,True,True,OK
0913,True,True,OK
0914,True,True,OK
0915,True,True,OK
0916,True,True,OK
0917,True,True,OK
0918,True,True,OK
0919,True,True,OK
0920,True,True,OK
0921,True,True,OK
0922,True,True,OK
0923,True,True,OK
0924,True,True,OK
0925,True,True,OK
0926,True,True,OK
0927,True,True,OK
0928,True,True,OK
0929,True,True,OK
0930,True,True,OK
